query,intent,query_len,label
play some music,fallback,3,14
sports club registration,ask_club,3,1
tell me about Artificial Intelligence and Data Science,ask_department,8,3
how do I apply for admission,ask_admission,6,0
what snacks are available,menu_query,4,17
scholarship amount details,ask_scholarship,3,10
where is Artificial Intelligence and Data Science staff room,faculty_query,9,13
what is todays date,fallback,4,14
someone fainted in the classroom,emergency,5,11
entrepreneurship summit,ask_fest,2,6
I feel lonely on campus,social_life,5,20
how do i meet new people,fallback,6,14
which floor is Robotics and Automation department,ask_department,7,3
drama club auditions,ask_club,3,1
where can i relax after class,recommend_place,6,18
entrepreneurship club,ask_club,2,1
who is the contact for Indoor Games Room,ask_contact,8,2
what time does the gym open,ask_hours,6,8
what is Management Department used for,facility_info,6,12
who handles hostel issues,ask_contact,4,2
what food is available now,menu_query,5,17
i have stomachache,emergency,3,11
where is Artificial Intelligence and Data Science staff room,faculty_query,9,13
what workshops are happening,ask_event,4,4
dance competition on campus,ask_fest,4,6
where can visitors ask for help,ask_contact,6,2
faculty room for Information Technology,faculty_query,5,13
where can i get wifi password,service_query,6,19
how do i go from CHE Classroom 401 to the library,find_location,11,15
who won the match,fallback,4,14
where can I submit my admission form,ask_admission,7,0
tell me about Artificial Intelligence and Data Science Department,facility_info,9,12
i feel like vomiting,emergency,4,11
where can i sit and focus on my assignment,recommend_place,9,18
who is the contact for Engineering Chemistry Lab,ask_contact,8,2
any guest lecture today,ask_event,4,4
suggest a quiet study place,recommend_place,5,18
tea price,menu_query,2,17
volunteer club campus,ask_club,3,1
friday special menu,menu_query,3,17
what services does Printing and Copying Room provide,facility_info,8,12
what services does HUM Faculty Room provide,facility_info,7,12
who manages document queries,ask_contact,4,2
is there a nice outdoor spot on campus,recommend_place,8,18
how do i go from First Floor Washrooms to the library,find_location,11,15
any guest lecture today,ask_event,4,4
who is the president,fallback,4,14
anything happening on campus,ask_event,4,4
need based scholarship,ask_scholarship,3,10
answer sheet re-checking process,ask_exam,4,5
how to apply for re-evaluation,ask_exam,5,5
i feel like vomiting,emergency,4,11
what is on the menu today,menu_query,6,17
is cafeteria open on sunday,ask_hours,5,8
what documents do I need for admission,ask_admission,7,0
where can i ask general questions,ask_contact,6,2
attendance requirement for exams,ask_exam,4,5
i have stomachache,emergency,3,11
what snacks are available,menu_query,4,17
what is Girls Common Room used for,facility_info,7,12
my phone got stolen where do i report,lost_found,8,16
volunteer club campus,ask_club,3,1
photography club meetings,ask_club,3,1
sports day this year,ask_fest,4,6
how much does lunch cost,menu_query,5,17
tell me about Mechanical Department Washrooms,facility_info,6,12
i need a peaceful place to work,recommend_place,7,18
i need a doctor,emergency,4,11
where can i scan documents,service_query,5,19
where can i ask general questions,ask_contact,6,2
hostel notice board,ask_hostel,3,7
lost my watch,lost_found,3,16
i need to take a printout urgently,service_query,7,19
any seminar this week,ask_event,4,4
who is the contact for Security Cabin,ask_contact,7,2
friday special menu,menu_query,3,17
tell me a joke,fallback,4,14
is the library open now,ask_hours,5,8
how to register for placements,ask_placement,5,9
where do teachers sit in Management,faculty_query,6,13
tea price,menu_query,2,17
i found keys near the cafeteria,lost_found,6,16
my wifi is not working,service_query,5,19
placement cell opening hours,ask_placement,4,9
what are the timings of AI&DS Classroom 202,ask_hours,8,8
drama club auditions,ask_club,3,1
friday special menu,menu_query,3,17
sports scholarship campus,ask_scholarship,3,10
what facilities are in HOD Office - Management Department,facility_info,9,12
book me a flight,fallback,4,14
where can i get lunch,menu_query,5,17
where can i prepare for exams,recommend_place,6,18
what time does CHE Faculty Room close,ask_hours,7,8
admission for transfer students,ask_admission,4,0
hostel mess menu,ask_hostel,3,7
who is the placement officer,ask_placement,5,9
who handles admissions,ask_admission,3,0
is cafeteria open on sunday,ask_hours,5,8
AI club at university,ask_club,4,1
how to apply for re-evaluation,ask_exam,5,5
what time does Admin Conference Room close,ask_hours,7,8
someone is injured,emergency,3,11
where can i study quietly,recommend_place,5,18
i need a doctor,emergency,4,11
which floor is Chemical Engineering department,ask_department,6,3
resume building workshop,ask_placement,3,9
hackathon on campus,ask_fest,3,6
show me upcoming events,ask_event,4,4
what facilities are in Outdoor Canteen Terrace,facility_info,7,12
where is the library,find_location,4,15
i lost my bag,lost_found,4,16
scholarship interview process,ask_scholarship,3,10
i found someone phone,lost_found,4,16
i lost my bag,lost_found,4,16
cultural night programme,ask_fest,3,6
suggest a romantic spot,fallback,4,14
film club at university,ask_club,4,1
supplementary exam dates,ask_exam,3,5
any seminar this week,ask_event,4,4
where is Humanities and Communication staff room,faculty_query,7,13
what facilities are in IT Faculty Room,facility_info,7,12
quiz competition campus,ask_fest,3,6
merit scholarship details,ask_scholarship,3,10
i feel sick,emergency,3,11
food festival on campus,ask_fest,4,6
government scholarship details,ask_scholarship,3,10
i found someone bag what should i do,lost_found,8,16
exam timetable for this semester,ask_exam,5,5
where can i ask general questions,ask_contact,6,2
hostel fee payment process,ask_hostel,4,7
what are the timings of Main Auditorium,ask_hours,7,8
where do lecturers sit,faculty_query,4,13
what is bitcoin price,fallback,4,14
i lost my student id card,lost_found,6,16
where can i pay fees,service_query,5,19
where can i take a break between classes,recommend_place,8,18
my laptop battery is dead where can i go,service_query,9,19
play some music,fallback,3,14
what is Innovation and Incubation Centre used for,facility_info,8,12
what facilities are in HUM Classroom 602,facility_info,7,12
where is Humanities and Communication department,ask_department,6,3
how to join a club,ask_club,5,1
i injured myself,emergency,3,11
hostel complaint procedure,ask_hostel,3,7
hostel allotment process,ask_hostel,3,7
where is the canteen,find_location,4,15
hostel allotment process,ask_hostel,3,7
i need emergency help,emergency,4,11
who should i contact for Research and Development Cell,ask_contact,9,2
quiz competition campus,ask_fest,3,6
where can i scan documents,service_query,5,19
