query,intent
from civil to mechanical,find_location
from cse to gym,find_location
which floor is Humanities and Communication Department,find_location
directions to Computer Lab,find_location
directions to AI&DS Classroom 201,find_location
where is the cafeteria,find_location
from library to cafeteria,find_location
from library to cafeteria,find_location
where can i find Digital Library,find_location
where is ROBO Classroom 502,find_location
where can i find BIO Classroom 501,find_location
where is the canteen,find_location
take me to HOD Office - Chemical Engineering,find_location
how to reach Mechanical Engineering Department,find_location
where can i find Outdoor Canteen Terrace,find_location
where is Dean Academic Office,find_location
how do i go from Reading Room to the library,find_location
take me to CSE Classroom 102,find_location
location of IT Department Washrooms,find_location
how do i get to Indoor Games Room,find_location
from library to cafeteria,find_location
where is CE Classroom 401,find_location
where can i find Civil Engineering Department,find_location
where can i find Mechanical Engineering Lab,find_location
which floor is Campus Fitness Centre,find_location
show me the way to Ground Floor Water Dispenser,find_location
where can i find Civil Engineering Department,find_location
how do i get to Ground Floor Washrooms,find_location
how do i go from ATM to the library,find_location
where is HUM Faculty Room,find_location
where is the cafeteria,find_location
directions to Humanities and Communication Department,find_location
where is the cafeteria,find_location
take me to IT Classroom 102,find_location
directions to HOD Office - Computer Science Engineering,find_location
from cse to gym,find_location
where is the canteen,find_location
from library to cafeteria,find_location
from cse to gym,find_location
from cse to gym,find_location
take me to Main Seminar Hall,find_location
where can i find HOD Office - Chemical Engineering,find_location
how to reach Accounts Office,find_location
show me the way to Coffee Kiosk,find_location
location of ME Faculty Room,find_location
navigate to Careers and Employability Office,find_location
where is Coffee Kiosk,find_location
where can i find Admin Conference Room,find_location
location of Engineering Workshop,find_location
how do i get to Digital Library,find_location
location of EE Classroom 302,find_location
location of Transport Office,find_location
from library to cafeteria,find_location
where can i find Reading Room,find_location
from cse to gym,find_location
where can i find Registrar Office,find_location
how do i go from Library Book Issue Counter to the library,find_location
location of Computer Science Engineering Department,find_location
take me to Main Lift Area,find_location
where is the cafeteria,find_location
how do i go from CHE Classroom 401 to the library,find_location
how do i get to Electrical Machines and Power Systems Lab,find_location
where is the library,find_location
location of Campus Bus Stop,find_location
how do i go from Multi-Faith Prayer Room to the library,find_location
how do i get to Accounts Office,find_location
from civil to mechanical,find_location
directions to BIO Faculty Room,find_location
from library to cafeteria,find_location
from civil to mechanical,find_location
where is AI&DS Classroom 202,find_location
where is Security Cabin,find_location
from library to cafeteria,find_location
where can i find Boys Common Room,find_location
where is the library,find_location
from civil to mechanical,find_location
where is the cafeteria,find_location
navigate to Chemical Engineering Department,find_location
where can i find CE Classroom 402,find_location
from cse to gym,find_location
where is the canteen,find_location
where is the cafeteria,find_location
directions to CSE Department Washrooms,find_location
take me to IT Classroom 102,find_location
how to reach Campus Fitness Centre,find_location
navigate to Civil Engineering Lab,find_location
which floor is BIO Classroom 502,find_location
directions to ECE Classroom 202,find_location
where is the library,find_location
how do i get to Chemical Engineering Department,find_location
from civil to mechanical,find_location
how do i go from Scholarship Office to the library,find_location
where is the library,find_location
location of Ground Floor Washrooms,find_location
show me the way to ROBO Faculty Room,find_location
where can i find EE Classroom 301,find_location
show me the way to Security Cabin,find_location
where is the library,find_location
from library to cafeteria,find_location
location of Electrical Engineering Department,find_location
where is Biotechnology Department Washrooms,find_location
where can i find Hostel Office,find_location
where can i find Stationery Store,find_location
take me to IT Classroom 101,find_location
how do i go from Chemical Engineering Department to the library,find_location
how do i go from Visitor Parking Area to the library,find_location
navigate to IT Classroom 102,find_location
how do i go from Ground Floor Washrooms to the library,find_location
how do i get to Engineering Workshop,find_location
where is the canteen,find_location
how do i go from Ground Floor Water Dispenser to the library,find_location
where is the cafeteria,find_location
where is the cafeteria,find_location
which floor is Registrar Office,find_location
from library to cafeteria,find_location
show me the way to Mechanical Engineering Department,find_location
how do i get to Electrical Machines and Power Systems Lab,find_location
where is the library,find_location
from civil to mechanical,find_location
how to reach Staff Parking Area,find_location
how do i get to HOD Office - Electronics and Communication Engineering,find_location
navigate to CSE Classroom 102,find_location
from cse to gym,find_location
where is the canteen,find_location
where is Computer Lab,find_location
navigate to Main Seminar Hall,find_location
where is the cafeteria,find_location
how do i get to IT Classroom 101,find_location
location of BIO Classroom 501,find_location
take me to Library Book Issue Counter,find_location
where can i find Robotics and Automation Department,find_location
take me to Electrical Machines and Power Systems Lab,find_location
location of Civil Engineering Lab,find_location
where is the cafeteria,find_location
where is the cafeteria,find_location
from civil to mechanical,find_location
where is the cafeteria,find_location
location of BIO Classroom 502,find_location
navigate to MBA Classroom 601,find_location
how to reach BIO Classroom 502,find_location
where is the canteen,find_location
directions to EE Faculty Room,find_location
navigate to HOD Office - Computer Science Engineering,find_location
where is the library,find_location
where is Information Technology Department,find_location
from civil to mechanical,find_location
where is HOD Office - Electrical Engineering,find_location
how do i go from Boys Hostel to the library,find_location
from cse to gym,find_location
take me to Final Year Project Lab,find_location
how do i go from Indoor Games Room to the library,find_location
how do i go from ECE Faculty Room to the library,find_location
take me to Chemical Engineering Lab,find_location
where is Indoor Games Room,find_location
how do i go from First Floor Washrooms to the library,find_location
from cse to gym,find_location
take me to Mechanical Engineering Lab,find_location
show me the way to Biotechnology Department Washrooms,find_location
where is the library,find_location
from civil to mechanical,find_location
navigate to CE Classroom 401,find_location
from library to cafeteria,find_location
where is the canteen,find_location
take me to CSE Classroom 101,find_location
from civil to mechanical,find_location
location of HOD Office - Civil Engineering,find_location
how do i get to Humanities and Communication Department,find_location
where is the library,find_location
where is HOD Office - Chemical Engineering,find_location
